n real user sys
5000 0m6.884s 0m0.075s 0m0.286s
10000 0m29.553s 0m0.192s 0m0.618s
15000 1m6.676s 0m0.252s 0m1.037s
20000 2m5.564s 0m0.455s 0m1.338s

