n real user sys
5000 0m2.582s 0m0.052s 0m0.290s
10000 0m9.978s 0m0.135s 0m0.561s
15000 0m22.100s 0m0.245s 0m1.058s
20000 0m38.664s 0m0.295s 0m1.281s

